cuenta_id,nombre,canal,ciudad,zona,alta,vendedor,descuento_pct,plazo_pago,cupo_credito,frec_visita_mes,escala
C-015,Hatoviejo,Restaurantes,Bogotá,Candelaria,2024-10-01,Paola Cárdenas,22.1,30,43000000,2.5,0.4554802688140266
C-016,In Situ,Restaurantes,Medellín,Las Palmas,2026-06-01,Valentina Ríos,17.8,30,9000000,2.3,0.8149656973581827
C-017,Herbario,Restaurantes,Medellín,Provenza,2026-04-01,Santiago Ospina,25.8,30,17000000,1.7,2.629310317617087
C-018,Cantina,Restaurantes,Bogotá,Macarena,2025-12-01,Andrea Restrepo,18.1,30,26000000,1.7,0.43557358133605256
C-019,Vintrash,Bares,Bogotá,Salitre,2026-03-01,Julián Mora,31.0,15,46000000,3.1,0.1150795390709432
C-020,La Pascasia,Bares,Bogotá,Zona G,2025-03-01,Andrea Restrepo,20.7,15,48000000,3.5,2.2596885698538345
C-021,Amarillo,Bares,Bogotá,Cedritos,2025-02-01,Paola Cárdenas,26.0,15,48000000,2.5,2.0852156870821665
C-022,Bogotá Beer Company,Bares,Bogotá,Zona G,2025-01-01,Julián Mora,30.9,15,20000000,3.2,0.5136450535083306
C-023,Armando Records,Bares,Medellín,Laureles,2026-05-01,Santiago Ospina,30.4,15,34000000,2.7,0.9555176287381144
C-024,El Coq,Bares,Bogotá,Usaquén,2025-11-01,Paola Cárdenas,26.7,15,50000000,2.5,1.1615958172727532
C-025,Baum,Bares,Bogotá,Macarena,2024-12-01,Andrea Restrepo,20.7,15,21000000,2.6,0.30907679401893673
C-026,Kaputt,Bares,Bogotá,Salitre,2026-04-01,Julián Mora,28.9,15,42000000,3.9,1.6408599979383744
C-027,Sixtina,Bares,Medellín,Provenza,2026-03-01,Valentina Ríos,20.1,15,30000000,2.5,0.29149416949323337
C-028,3 Cordilleras,Bares,Medellín,Centro,2026-04-01,Santiago Ospina,32.5,15,9000000,3.6,0.528923276134833
C-029,Bendito Seas,Bares,Bogotá,Usaquén,2025-05-01,Julián Mora,28.8,15,21000000,2.9,1.0203389222542532
C-030,Malvón,Bares,Bogotá,Macarena,2024-11-01,Julián Mora,31.2,15,21000000,2.5,1.1059859689747529
C-031,Panorama,Bares,Bogotá,Chicó,2024-12-01,Julián Mora,32.2,15,33000000,3.1,0.9212257447368276
C-032,Bar Tokio,Bares,Bogotá,Salitre,2025-08-01,Julián Mora,29.0,15,8000000,3.6,1.4522426014490022
C-033,Theatron,Discotecas,Bogotá,Parque 93,2026-05-01,Julián Mora,34.7,15,66000000,1.4,0.44301815478452816
C-034,Octava,Discotecas,Medellín,Las Palmas,2026-03-01,Valentina Ríos,23.9,15,54000000,1.2,1.6231202477729798
C-035,Andrés DC,Discotecas,Bogotá,Zona T,2026-06-01,Julián Mora,32.1,15,43000000,1.6,1.0567130960377056
C-036,Gotica,Discotecas,Bogotá,Parque 93,2025-09-01,Julián Mora,34.7,15,65000000,2.1,1.18696990165496
C-037,Kukaramakara,Discotecas,Medellín,Las Palmas,2026-05-01,Valentina Ríos,22.6,15,39000000,1.6,1.326291840946011
C-038,Perro Negro,Discotecas,Medellín,Las Palmas,2026-04-01,Santiago Ospina,34.1,15,19000000,2.2,1.1672709289944987
C-039,La Villa,Discotecas,Medellín,Laureles,2026-04-01,Valentina Ríos,23.7,15,76000000,1.9,0.732855489706782
C-040,Envy Rooftop,Discotecas,Bogotá,Zona T,2025-10-01,Julián Mora,34.9,15,52000000,1.5,0.7664696958951046
C-041,Bendito Sea,Discotecas,Bogotá,Parque 93,2024-09-01,Andrea Restrepo,21.5,15,54000000,1.9,0.20659454036007052
C-042,Club El Nogal,Clubes sociales,Medellín,Las Palmas,2026-06-01,Valentina Ríos,14.7,45,45000000,1.0,2.1385207350283215
C-043,Club Campestre Bogotá,Clubes sociales,Medellín,Las Palmas,2026-03-01,Santiago Ospina,21.7,45,72000000,1.0,0.6956773555366564
C-044,Club Los Lagartos,Clubes sociales,Bogotá,Zona T,2025-08-01,Paola Cárdenas,19.2,45,34000000,1.3,0.2066848489590628
C-045,Gun Club,Clubes sociales,Bogotá,Chapinero,2026-05-01,Paola Cárdenas,19.4,45,69000000,1.3,6.963765037334819
C-046,Club Campestre Medellín,Clubes sociales,Medellín,Centro,2026-04-01,Valentina Ríos,16.1,45,45000000,1.1,0.24086638329790916
C-047,Club Unión,Clubes sociales,Bogotá,Candelaria,2026-06-01,Andrea Restrepo,16.3,45,54000000,1.5,0.4986380662895062
C-048,Club Colombia,Clubes sociales,Bogotá,Chicó,2025-11-01,Julián Mora,24.2,45,47000000,0.9,1.9041001104891195
C-049,Club Militar,Clubes sociales,Bogotá,Zona T,2025-01-01,Julián Mora,24.8,45,56000000,1.4,1.1074696343072472
C-050,Bancolombia,Empresas,Bogotá,Zona G,2024-10-01,Julián Mora,19.0,30,16000000,0.7,1.212999633997583
C-051,Grupo Éxito,Empresas,Bogotá,Macarena,2025-08-01,Paola Cárdenas,15.7,30,43000000,0.6,0.7089540903060327
C-052,Sura,Empresas,Bogotá,Chicó,2025-01-01,Paola Cárdenas,15.4,30,47000000,0.7,1.8389977606013002
C-053,Nutresa,Empresas,Bogotá,Zona G,2024-11-01,Julián Mora,19.6,30,31000000,0.7,1.5117945242987736
C-054,ISA,Empresas,Bogotá,Salitre,2026-05-01,Julián Mora,18.1,30,11000000,0.7,1.7669829519863425
C-055,Ecopetrol,Empresas,Medellín,Envigado,2026-04-01,Santiago Ospina,17.9,30,13000000,0.7,0.8818530313763723
C-056,Davivienda,Empresas,Bogotá,Zona G,2024-12-01,Paola Cárdenas,15.1,30,55000000,0.4,0.77989665231298
C-057,Bavaria Corp,Empresas,Bogotá,Candelaria,2025-02-01,Paola Cárdenas,14.2,30,14000000,0.5,1.1151263061186103
C-058,Argos,Empresas,Bogotá,Cedritos,2026-01-01,Paola Cárdenas,14.3,30,40000000,0.4,3.1694454384195696
C-059,Terpel,Empresas,Bogotá,Candelaria,2024-12-01,Julián Mora,18.1,30,13000000,0.7,2.269029996300146
C-060,Protección,Empresas,Medellín,Las Palmas,2026-06-01,Santiago Ospina,18.3,30,36000000,0.7,0.7196863220478033
C-061,Colsubsidio,Empresas,Bogotá,Chicó,2024-12-01,Andrea Restrepo,12.9,30,12000000,0.7,0.8525718007738385
